Name,County,Chief,Phone,Fax
Friendship Volunteer Fire Department,Jackson,Marty Clinton,580-481-8211,999-999-9999
Frontier Fire District Association,Osage,John Matthewson,918-354-2365,999-999-9999
Gage Fire Department,Ellis,Leon Woods,580-923-7727,999-999-9999
Gaines Creek Vol Fire Department,Pittsburg,Walter Phelps,918-426-4999,999-999-9999
Gans Volunteer Fire Department,Sequoyah,Brent Haggard,918-775-3624,999-999-9999
Garber Fire Department,Garfield,Reese Wedel,580-863-2817,999-999-9999
Garvin Volunteer Fire Department,McCurtain,David Rodgers,580-286-2250,999-999-9999
Gate Fire Department,Beaver,Thomas Heglin,580-934-3471,999-999-9999
Geary Fire Department,Blaine,Pat Bingham,405-884-2923,999-999-9999
Gene Autry Fire Department,Carter,Don Morgan,580-294-3173,999-999-9999
Geronimo Fire Department,Comanche,Norman Leveille,580-353-5511,999-999-9999
Gerty VFD,Hughes,Sheldon Tatum,580-399-5547,580-8923899
GGEDA,Craig,Melvin Mashburn,918-783-5793,999-999-9999
Gideon Vounteer Fire Department,Cherokee,Marty Kimbell,918-456-4052,999-999-9999
Glencoe Fire Department,Payne,Randy Clark,580-669-2623,999-999-9999
Glenpool Fire Department,Tulsa,Paul Newton,918-322-2172,999-999-9999
Goldsby Rural Fire Department,McClain,Brad Curry,405-288-6675,999-999-9999
Goltry Fire Department,Alfalfa,Vernon Sanders,580-496-2482,999-999-9999
Goodwell Fire Department,Texas,Levi Bickford,580-651-3738,999-999-9999
Gooseneck Bend Fire Department,Muskogee,Mike Hayes,918-682-0327,999-999-9999
Gore Fire Department,Sequoyah,Clay Cunningham,918-440-4974,999-999-9999
Gotebo Fire Department,Kiowa,Michael Dooley,580-538-5351,999-999-9999
Gould Volunteer Fire Department,Harmon,Darrin Miranda,580-633-2793,999-999-9999
Gracemont Fire Department,Caddo,Mike Brower,405-966-2201,999-999-9999
Grady County Civil Defense,Grady,Dale Thompson,405-222-2339,999-999-9999
Grady County Fire Service,Grady,Dale Thompson,405-222-2339,999-999-9999
Grainola Volunteer Fire Department,Osage,Charles Johnston,918-433-2391,999-999-9999
Grandfield Volunteer Fire Department,Tillman,Frank Watson,580-479-5215,999-999-9999
Granite Fire Department,Greer,James Haynes,580-535-2116,999-999-9999
Grant Vol Fire Department,Choctaw,Martina Pullia,580-326-7995,999-999-9999
Grayhorse Fire Protection Incorporated,Osage,Gary Kliesen,918-642-5366,999-999-9999
Grayson Volunteer Fire Department,Okmulgee,Leon Anderson,918-906-6299,999-999-9999
Greasy Bend Fire Department Inc,Atoka,Larry Mansell,580-346-7721,999-999-9999
Greasy Community Fire Association,Adair,Jody Fletcher,918-696-2790,999-999-9999
Green Acres Vol Fire Department,Caddo,Coy Green,405-966-2329,999-999-9999
Green Country Estates Vol Fire Dept,Osage,William Childress,918-241-7204,999-999-9999
Greenfield Volunteer Fire Department,Blaine,Chad Scheihing,405-719-0571,999-999-9999
Greenleaf Rural Fire Department,Woods,Jeff McOsker,580-327-3021,999-999-9999
Greenville Fire Department,Love,Jack Kirk,580-276-5283,999-999-9999
Griggs Rural Fire Protection,Cimarron,Donnie Cook,580-546-7555,999-999-9999
Grove Fire Department,Delaware,Lee Dollarhide,918-786-4961,999-999-9999
Guthrie Fire Department,Logan,Lester Branch,405-282-4433,999-999-9999
Guymon Fire Department,Texas,Dean McFadden,580-338-5536,580-468-4441
Haileyville Vol Fire Department,Pittsburg,Terry Sensibaugh,918-297-2267,999-999-9999
Hall Volunteer Fire Department,Pushmataha,Danny Gregs,580-583-6224,999-999-9999
Hammon Fire Department,Roger Mills,Donny Parker,580-473-2281,999-999-9999
Hammsville Fire Department,Tillman,Edgar Hamm,580-335-2892,999-999-9999
Hanna Area Fire Department,McIntosh,Donald Berryhill,918-657-2415,999-999-9999
Happyland Firefighters Association,Pontotoc,Claude Bess,580-320-2911,999-999-9999
Hardesty Fire Department,Texas,Jared Richards,580-651-9583,999-999-9999
Harmon Community Firefighters,Ellis,Rocky West,580-939-2462,999-999-9999
Harmon County Fire District,Harmon,Gary Randall,580-688-3658,999-999-9999
Harmony Fire Department,Atoka,Cecil Mackey,580-239-0711,999-999-9999
Harold Station of Grady County,Grady,Doug Meeks,405-352-4649,999-999-9999
Harrah Fire Department,Oklahoma,Merel Coleman,405-454-2111,999-999-9999
Hartshorne Vol Fire Department,Pittsburg,David Mass,918-297-2544,999-999-9999
Haskell County Emergency Mgmt,Haskell,John Berryman,918-967-4488,999-999-9999
Haskell County EOC,Haskell,Willard Timmons,918-967-4488,999-999-9999
Haskell Volunteer Fire Department,Muskogee,Johnny Masterson,918-482-3933,999-999-9999
Hastings Volunteer Fire Department,Jefferson,Ronnie Bohot,580-963-2441,999-999-9999
Hauani Creek Fire Department,Marshall,Wes Saxon,580-795-4806,999-999-9999
Haw Creek Rural Fire Department,Le Flore,Don Heavener,918-653-2120,999-999-9999
Hawley Rural Fire District Association,Grant,Gary Lillie,580-839-2480,999-999-9999
Haworth Volunteer Fire Department,McCurtain,Floyd Middleton,580-245-2258,999-999-9999
Haydonville Rural Fire Dept Association,Okfuskee,Greg Scott,,999-999-9999
Haywood/Arpelar Fire Department,Pittsburg,Kenneth Eubanks,918-423-0249,999-999-9999
Headrick Volunteer Fire Department,Jackson,Jason Finch,580-301-2905,999-999-9999
Healdton Fire Department,Carter,Deon Rich,580-656-1419,999-999-9999
Heavener Fire Department,Le Flore,Brad Morris,918-653-2222,999-999-9999
Helena Volunteer Fire Department,Alfalfa,Donnie French,580-852-3250,999-999-9999
Hennepin Fire District,Garvin,Jeff Doss,589-369-8764,999-999-9999
Hennessey Volunteer Fire Department,Kingfisher,Bert Gritz,580-758-3269,999-999-9999
Henryetta Fire Department,Okmulgee,Raymond Eldridge,918-652-7102,999-999-9999
Hester Rural Vol Fire Association,Greer,David Kirby,580-782-5139,999-999-9999
Hickory Grove Fire Department,Delaware,Terry Larey,918-314-0274,999-999-9999
Hickory Hill Fire Department Inc,Osage,Mike Littlepage,918-338-0806,999-999-9999
Hickory Hills Vol Fire Department,Oklahoma,Mike Helems,405-820-4649,999-999-9999
Hickory Volunteer Fire Department,Murray,David Byers,580-622-2167,999-999-9999
Higgins Fire Department,Latimer,Clark Kitchell,918-297-7239,999-999-9999
High Hill Volunteer Fire Association,Pittsburg,Paulette Norris,918-426-3029,999-999-9999
High Plains Institute of Technology,Woodward,Mark Christiansen,580-256-6618,999-999-9999
Highway #9 Volunteer Fire Department,Pittsburg,Danny Choat,918-452-3763,999-999-9999
Highway 100 West Fire Protection Assn,Adair,Brad Peck,918-575-5130,999-999-9999
Highway 51 West Rural Fire Department,Adair,Joe Dugger,918-696-2200,999-999-9999
Hillsdale Fire District,Garfield,Charles Welker,580-635-2334,999-999-9999
Hinton Volunteer Fire Department,Caddo,Toby Brookshire,405-542-6515,999-999-9999
Hitchcock Fire Department,Blaine,Perry Scheffler,580-825-3226,999-999-9999
Hitchita Volunteer Fire Department,McIntosh,Bobby Parsons,918-759-7465,999-999-9999
Hobart Fire Department,Kiowa,Jerry Lankford,580-726-5237,999-999-9999
Hochatown Fire Department Assoc,McCurtain,James Dowty,580-236-1991,999-999-9999
Hodgen Volunteer Fire Department,Le Flore,Jon Mead,918-653-7165,999-999-9999
Hoffman Volunteer Fire Department,Okmulgee,Dude Burney,918-652-2280,999-999-9999
Hog Eye Volunteer Fire Department,Le Flore,Ronbert Bennett,918-654-3267,999-999-9999
Holdenville Fire Department,Hughes,Tim McConnell,405-379-2413,999-999-9999
Hollis Fire Department,Harmon,Bob Jefferson,580-471-3241,999-999-9999
Hollister Vol Firefighters Association,Tillman,Skeet Sjolander,580-335-5593,999-999-9999
Holly Creek-Oak Hill Fire Department,McCurtain,Charles Greenlee,580-420-7047,999-999-9999
Homer Fire Department,Pontotoc,Gary Mankin,580-421-9362,999-999-9999
Hominy Fire Department,Osage,Roger Whited,918-885-2328,918-885-6620
Hominy Ranchers Rural Fire Dept Inc,Osage,James Wilcox,918-885-6414,999-999-9999
Honobia Rural Fire Department,Le Flore,John Clawson,918-755-4488,999-999-9999
Hooker Fire Department,Texas,Robbie Wayman,580-652-2885,999-999-9999
Hopewell Comm Firefighters Assoc,Atoka,Billy Smith,580-937-4858,999-999-9999
Horntown Rural Fire District,Hughes,Phillip Lee,405-379-2959,999-999-9999
Howe Fire Department,Le Flore,William Frizzell,918-658-2459,999-999-9999
Hoyt Volunteer Fire Department,Haskell,Don Pearson,918-967-8025,999-999-9999
Hugo Fire Department,Choctaw,Larry Lee,580-326-5616,999-999-9999
Hulah Volunteer Fire Department,Osage,John Strom,918-532-4453,999-999-9999
Hulbert Fire Department,Cherokee,Mark Graham,918-772-2932,999-999-9999
Hulen Vol Fire Department Inc Assoc,Comanche,Heith Renschen,580-251-3768,999-999-9999
Hunter Volunteeer Fire Department,Garfield,Dale Chain Jr,580-388-6606,999-999-9999
Hydro Volunteer Fire Department,Caddo,Nolan Schmidt,405-663-2531,999-999-9999
Idabel Fire Department,McCurtain,Andrew Young,580-286-3704,999-999-9999
Illinois River Area Assn Fire Department,Cherokee,Mac Martin,918-453-1263,999-999-9999
INCOG,Tulsa,Dale Block,918-579-9422,999-999-9999
Indiahoma Volunteer Fire Department,Comanche,Chris Jones,580-351-7712,580-246-3355
Indianola Fire Department,Pittsburg,Jimmy Herrin,918-823-4415,999-999-9999
Ingalls Fire Department,Payne,Jim Burton,405-377-7476,999-999-9999
Inola Fire Department,Rogers,Barney Grigg,918-830-5539,999-999-9999
Iowa Tribe Fire Department,Lincoln,Gerald Woommavovah,405-547-4244,4055478646
Isabella Fire District,Major,Ray Price,580-822-4039,999-999-9999
IXL Volunteer Fire Department,Okfuskee,Wendell Williams,918-668-3431,999-999-9999
Jackson County Fire Department,Jackson,Bob Howard,580-482-4420,999-999-9999
Jacktown Fire Department,Lincoln,Greg Ford,405-226-9484,999-999-9999
Jay Fire Department,Delaware,Brandon Alexander,918-253-6350,918-253-8495
Jenks Fire Department,Tulsa,Bob Douglas,918-298-1862,999-999-9999
Jennings Fire Department,Pawnee,David Poulter,918-757-2543,999-999-9999
Jester Volunteer Fire Department,Greer,Junior Norton,580-683-4325,999-999-9999
Jet Volunteer Fire Department,Alfalfa,Jason Jenlink,580-554-4576,999-999-9999
Jimtown Volunteer Fire Department,Love,Wesley Dill,580-276-6451,999-999-9999
Jones Fire Department,Oklahoma,Mark Taylor,405-229-2045,999-999-9999
Joy Community Vol Fire Dept. Assoc,Murray,Darrell Hudson,580-220-5855,999-999-9999
Kansas Fire Department,Delaware,David Spencer,918-868-6000,999-999-9999
Katie Fire Department,Garvin,Brent Christian,580-788-2711,999-999-9999
Kaw City Fire Department,Kay,Jason Bliss,580-716-7524,999-999-9999
KEDDO,Latimer,Larry Morgan,918-465-2367,999-999-9999
Keefeton Volunteer Fire Department,Muskogee,Speck Plunkett,918-687-5108,999-999-9999
Kellyville Fire Department,Creek,Roger Tuttle,918-247-6160,999-999-9999
Kemp Fire Department,Bryan,Jeremy Sisemore,580-838-2175,999-999-9999
Kendrick Volunteer Fire Department,Lincoln,Mike Stewart,918-368-2524,999-999-9999
Kenefic Volunteer Fire Department,Bryan,ML Bridges,580-367-2744,999-999-9999
Kenton Volunteer Fire Department,Cimarron,Steve Sechler,580-261-7419,999-999-9999
Kenwood Fire Association,Delaware,Bud Chancellor,918-434-5219,999-999-9999
Keota Fire District,Haskell,Jim Knowles,918-966-3680,999-999-9999
Ketchum Fire Department,Craig,Robert Long,918-782-7238,999-999-9999
Keyes Fire Department,Cimarron,Tommy Grazier,580-546-7227,999-999-9999
Keys Fire Department,Cherokee,Bobby Jackson,918-456-3448,999-999-9999
Keystone State Park,Tulsa,Dave Smith,918-865-2066,999-999-9999
Keystone Volunteer Fire Department,Tulsa,Chris Blackburn,918-363-8261,918-363-8261
Kiamichi Wilderness Vol Fire Dept,Pushmataha,Gary Broome,580-298-4777,999-999-9999
Kiefer Fire Department,Creek,Rod Wilmot,918-321-3507,999-999-9999
Kildare Volunteer Fire Department,Kay,David Gallagher,580-362-1231,999-999-9999
Kingfisher Fire Department,Kingfisher,John Crawford,405-375-5261,999-999-9999
Kingston Fire Department,Marshall,James Kuykendall,580-564-2407,580-564-2407
Kinta Fire Department,Haskell,Leon Daniels,918-768-3322,999-999-9999
Kiowa County Emergency Service,Kiowa,Wayne Barker,580-726-3377,999-999-9999
Kiowa Fire Department,Pittsburg,Patrick Johnston,918-432-6115,999-999-9999
"Kirk Mountain Fire & Rescue, Inc",Adair,Sandra Holmes,918-696-4906,999-999-9999
Konawa Fire Department,Seminole,Tim Coffey,580-925-3775,999-999-9999
Krebs Fire Department,Pittsburg,Chuck Nelms,918-423-6519,999-999-9999
Kremlin Fire Department,Garfield,Derrick Harris,580-234-3435,999-999-9999
Lahoma Fire Department,Garfield,David Wedel,580-796-2439,999-999-9999
Lake Murray State Park,Carter,Bryce Todd,580-223-4049,999-999-9999
Lake Murray Village Vol Fire Dept,Love,Bryan Rieck,580-768-0048,999-999-9999
Lake Valley Volunteer Fire Department,Washita,Charles Betche,580-538-2352,999-999-9999
Lakemont Shores Fire Department,Delaware,Dick Kauffman,918-435-2888,999-999-9999
Lakewood Fire Department,Bryan,Sherri Thomas,580-775-6282,580-931-0121
Lamar Volunteer Fire Department,Hughes,Bill McCoy,405-379-2053,999-999-9999
Lamont Volunteer Fire Department,Grant,Justin Hembree,580-388-4464,999-999-9999
Lane Fire District,Atoka,Todd Birdsong,580-889-5447,999-999-9999
Langley Fire Department,Mayes,Ed Prine,918-782-9613,999-999-9999
Langston Fire Department,Logan,Stacy Williams,405-466-2254,999-999-9999
Latham-Dog Creek Fire Department,Le Flore,Kevin Hoffman,918-649-4466,999-999-9999
Laverne Fire Department,Harper,Kurt Long,580-921-5103,999-999-9999
Lawrence Creek Fire Department,Creek,David Sadler,918-865-2960,999-999-9999
Leach Community Fire Dept Assoc,Delaware,Troy Sinor,918-868-3423,999-999-9999
Lebanon Fire Department,Marshall,John Rush,940-595-3671,999-999-9999
Lee Creek Volunteer Fire Department,Sequoyah,Tommy Ree,918-427-4612,999-999-9999
Leedey Fire Department,Dewey,Tony Morlan,580-821-4351,999-999-9999
Leflore Volunteer Fire Department,Le Flore,Bradley Warren,918-753-2289,999-999-9999
Lehigh Fire Department,Coal,Ethan Fomby,580-927-0125,999-999-9999
Leisure Land Fire Department,McIntosh,George Crims,918-618-4054,999-999-9999
Lenapah Fire Department,Nowata,Jerry Kimrey,918-468-2461,999-999-9999
Leon Fire Department,Love,Jay Griffith,214-499-7057,999-999-9999
Leonard Area Fire Association,Tulsa,Tony Hall,918-366-6217,999-999-9999
Lequire Volunteer Fire Department,Haskell,Ivas Underwood,918-967-4749,999-999-9999
Lexington Fire Department,Cleveland,Harry Grider,405-527-9882,999-999-9999
Liberty Area Fire Protection Assoc,Tulsa,Lee Johnson,918-366-8330,999-999-9999
Liberty Fire Department,Sequoyah,David Richards,479-414-1226,999-999-9999
Limestone Fire Protection District,Rogers,Carl Smith,918-835-2333,999-999-9999
Lindsay Fire Department,Garvin,Jay Selzer,405-756-3111,999-999-9999
Little Axe Fire Prot District,Cleveland,Al Schneider,405-386-7700,999-999-9999
Little Chief Rural Fire Company,Osage,Jay Edens,918-642-3541,999-999-9999
Loco Fire Department,Stephens,Glenn Knutson,580-537-2521,999-999-9999
Locust Grove Fire Department,Mayes,Robert Foreman,918-479-5275,999-999-9999
Lona Valley Volunteer Fire Department,Haskell,Richard Carter,918-768-3245,999-999-9999
Lone Grove Fire Department,Carter,Bill Christian,580-657-4196,999-999-9999
Lone Wolf Volunteer Fire Department,Kiowa,Lee Horton,580-450-5231,580-846-5297
Longdale Fire Department,Blaine,Mike Hicks,580-274-3478,999-999-9999
Lookeba Town of Fire Department,Caddo,Michael Taylor,405-457-6744,999-999-9999
Lost Man Creek Rural Fire Company,Osage,Gail Fowler,918-648-5208,999-999-9999
Lotawatah Fire Department,McIntosh,Mike Anderson,918-618-3560,999-999-9999
Love County Fire Department,Love,Charles Willis,580-276-2855,999-999-9999
Lowery Volunteer Fire Department,Cherokee,Larry Watts,918-456-0080,999-999-9999
Loyal Fire District,Kingfisher,Richard Meyer,405-368-6513,999-999-9999
Lucien Rural Fire Department,Noble,Kenneth Fisher,580-336-9942,999-999-9999
Lula Fire Department,Pontotoc,Kim Johnson,580-320-6489,999-999-9999
Luther Fire,Oklahoma,Jason Maynard,(405)627-7971,(405)277-9965
Luther Volunteer Fire Department,Oklahoma,Bryan Martin,405-520-7316,999-999-9999
Lyman Rural Fire Company,Osage,Bobby Swopes,793-2020,999-999-9999
Macomb Fire Department,Pottawatomie,Richard Baker,405-333-2449,999-999-9999
Madill Fire Department,Marshall,Keith Pruitt,580-795-2557,999-999-9999
Manchester Fire Department,Grant,Todd Lohman,580-694-2209,999-999-9999
Mangum Fire Department,Greer,Steve Slaton,580-782-3216,999-999-9999
Manitou Volunteer Fire Department,Tillman,Chuck Jensen,580-305-3891,999-999-9999
Mannford Fire Department,Creek,Bob Evans,918-865-2666,999-999-9999
Mannsville Fire Department,Johnston,Michael Eddings,580-371-3876,999-999-9999
Maple Fire Department,Sequoyah,David Riggs,918-427-6853,999-999-9999
Maramec Fire Department,Pawnee,Derrick Taulman,918-454-2853,999-999-9999
Marble City Vol FF Association,Sequoyah,Eardie Six,918-775-9412,999-999-9999
Marietta Fire Department,Love,Mike Cahoon,580-276-9608,999-999-9999
Marland Fire Department,Pawnee,Mickey Robinson,580-268-3468,999-999-9999
Marlow Fire Department,Grady,Jerome McCalvin,580-658-2121,999-999-9999
Marshall County Fire & Safety,Marshall,Terry Denison,580-564-3776,999-999-9999
Marshall Volunteer Fire Department,Logan,Curtis Taylor,405-802-1936,999-999-9999
Martha Volunteer Fire Department,Jackson,Don Hervey,580-266-3385,999-999-9999
Maud Fire Department,Pottawatomie,Billy Presley,405-374-2717,999-999-9999
May Community Rural Fire Department,Harper,Thad Murphy,580-571-2357,999-999-9999
Maysville Fire Department,Garvin,Joe Caldwell,405-620-3233,999-999-9999
McCord Comm Vol Fire Department,Osage,David Rush,580-765-4700,999-999-9999
McCurtain Fire Department,Haskell,Raymond Lane,918-945-7260,999-999-9999
McIntosh County Civil Defense,McIntosh,Harry Trotier,918-689-2835,999-999-9999
McKey Rural FF Association,Sequoyah,Brian Lee,918-774-5914,999-999-9999
McLoud Fire Department,Pottawatomie,Mike Bickel,405-964-4005,999-999-9999
Medford Volunteer Fire Department,Grant,Dennis Brittain,580-395-2823,999-999-9999
Medicine Park Fire Department,Comanche,David McCoy,580-529-2825,999-999-9999
Meeker Fire Department,Lincoln,Terry Young,405-279-4632,999-999-9999
Meers Volunteer Fire Department,Comanche,Dan McClure,580-695-4449,999-999-9999
Meno Fire Department,Major,Elroy Unruh,580-776-2552,999-999-9999
Meridian Fire Department,Logan,John Pross,405-202-2469,999-999-9999
Meridian Volunteer Fire Department,Stephens,Ben Cheek,580-255-8083,999-999-9999
Merrick Volunteer Fire Department,Lincoln,John Spoon,918-399-9338,999-999-9999
Messer Fire Department,Choctaw,Charles Raney,580-326-2284,999-999-9999
Miami Fire Department,Ottawa,Kevin Trease,918-542-6685,999-999-9999
Mid County Fire Department,Adair,Pete Perry,918-696-0515,999-999-9999
Milburn Fire Department,Johnston,David Trammell,580-443-5846,999-999-9999
Milfay Volunteer Fire Department,Creek,Hillis Ailey,918-324-5613,999-999-9999
Mill Creek Fire Department,Johnston,Jim McCracken,580-369-8822,580-384-3939
Millerton Fire Department,McCurtain,Don Coffey,580-212-7029,999-999-9999
Minco Fire Department,Grady,Michael Hurley,405-779-1409,999-999-9999
"Missing, Stolen & Destroyed",McClain,Jim Pitts,405-288-2385,999-999-9999
Moffett Fire Department,Sequoyah,Bobby Bentley,918-875-2386,999-999-9999
Monkey Island Fire Protection District,Delaware,Carl Tesreau,918-257-8718,999-999-9999
Monroe Volunteer Fire Department,Le Flore,Jay Neugen,918-658-2242,999-999-9999
Moore Fire Department,Cleveland,Gary Bird,405-793-5110,405-793-5127
Mooreland Fire Department,Woodward,Mark Murray,580-334-5394,999-999-9999
Morgan's Corner Vol Fire Dept Inc,Osage,John Blakney,918-521-0896,999-999-9999
Morris Rural Fire Association,Okmulgee,Keith Scott,918-733-9030,999-999-9999
Morrison Volunteer Fire Department,Noble,Danny Caldwell,580-724-3473,999-999-9999
Mounds Fire Department,Creek,David Jackson,918-827-6869,999-999-9999
Mountain Park Vol Fire Department,Kiowa,Denton Erwin,580-569-4234,999-999-9999
Mountain View Fire Department,Muskogee,Don Dailey,918-351-0146,999-999-9999
Mountain View Vol Fire Department,Kiowa,Robert Fobes,580-347-2711,999-999-9999
Moyers Rural Vol Fire Department,Pushmataha,Bobby Willis,580-298-2271,999-999-9999
Muldrow Fire Department,Sequoyah,Alan Falkner,479-650-0156,999-999-9999
Mulhall Volunteer Fire Department,Logan,Roland Taylor,405-760-5061,999-999-9999
Multiple Placment Code,McClain,Jim Pitts,405-288-2385,999-999-9999
Murry Spur Vol Fire Department,Le Flore,Cary Carter,479-459-8430,999-999-9999
Muskogee Fire Department,Muskogee,Derek Tatum,918-687-5483,999-999-9999
Mutual Fire Department,Woodward,Cole Braley,580-334-0349,999-999-9999
Naples Fire Department,Grady,Rodney Gregory,405-222-3047,999-999-9999
Nash Volunteer Fire Department,Grant,Larry Cokeley,580-532-5095,999-999-9999
Nashoba Fire Department,Pushmataha,Brent Powell,918-755-4340,999-999-9999
Nature Cons Tallgrass Prairie,Osage,Harvey Payne,918-287-4803,999-999-9999
Nature Conservancy,Pontotoc,Jim Erwin,580-777-2224,999-999-9999
NE Lincoln County Fire Department,Lincoln,Bruce Lair,918-225-5025,999-999-9999
Nelagoney Vol Fire Dept Association,Osage,David Stone,918-287-3781,999-999-9999
Nelson Vol Fire Dept Association,Choctaw,Danny Antwine,580-345-2730,999-999-9999
Nescatunga Fire District,Alfalfa,Kim Dale,580-626-4756,999-999-9999
New Alluwe Fire Department,Nowata,Jim Barger,918-475-2376,999-999-9999
New Hope Volunteer Fire Association,Caddo,Mark Myers,405-247-2050,999-999-9999
Newalla Vol Fire Department,Oklahoma,Getty Williams,405-660-1197,999-999-9999
Newcastle Fire Department,McClain,Kevin Self,405-387-5823,999-999-9999
Newkirk Fire Department,Kay,Jerry Evans,580-362-3606,999-999-9999
Nichols Hills Fire Department,Oklahoma,Terry Hamilton,405-843-8526,405-842-8409
Nicoma Park Fire Department,Oklahoma,Jim Shonts,405-769-4593,999-999-9999
Nicut Rural Fire Department,Sequoyah,Clay Morgan,918-427-7882,999-999-9999
Ninnekah Volunteer Fire Department,Grady,Troy Wilson,405-274-6220,999-999-9999
Noble Fire Department,Cleveland,Gary Bonner,405-872-3030,999-999-9999
NODA,Garfield,Cecil Michaels,580-237-4810,999-999-9999
Non Fire Department,Hughes,Tim Abney,580-889-7395,999-999-9999
Norman Fire Department,Cleveland,James Fullingim,405-292-9780,405-292-9785
North 48 Sunrise Vol Fire Department,Pawnee,Ryan Spyres,918-358-3847,999-999-9999
North Shore Volunteer Fire Department,Marshall,Frank Reed,580-795-2023,999-999-9999
Northeast Area Forestry,Cherokee,John Burwell,918-456-6139,999-999-9999
Norwood Fire Department,Cherokee,Eric Salmon,918-478-9628,999-999-9999
Nowata County Civil Defense,Nowata,George Lee,918-273-1139,999-999-9999
Nowata Fire Department,Nowata,Randy Lawson,918-273-3532,999-999-9999
Nuyaka Volunteer Fire Department,Okmulgee,Chris Edmonds,918-758-6547,999-999-9999
NW Roger Mills Fire Association,Roger Mills,Nathan Coogle,580-497-6735,999-999-9999
NW Rogers County Fire Prot District,Rogers,David Puckett,918-443-2471,999-999-9999
NWSOATX,Cimarron,Ken Schneider,000-000-0000,806-382-0015
Oak Cliff Rural Fire Protection,Logan,Ken Stoops,405-340-9115,999-999-9999
Oak Grove Fire Prot Dist of Wagoner Co,Wagoner,Dicus Benton,918-688-4143,999-999-9999
Oakgrove Fire District,Murray,Bart Castleberry,580-622-6540,999-999-9999
Oakhurst Volunteer Fire Department,Tulsa,James Harper,918-445-1442,999-999-9999
Oakridge Volunteer Fire Department,Stephens,Gary Curtis,580-252-5472,999-999-9999
Oaks Volunteer Fire Department,Delaware,Vince Osborn,918-868-3850,999-999-9999
Oakwood Fire Department,Dewey,Gary Clyden,580-891-3318,999-999-9999
Ochelata Volunteer Fire Department,Washington,Stanton Ingram,918-353-2408,999-999-9999
Octavia Rural Fire Association,Le Flore,Steve Price,580-244-3456,999-999-9999
OEDA,Beaver,Charlie Enlow,580-625-4531,999-999-9999
Oglesby Civil Defense Fire Department,Washington,Charlie Cunningham,918-545-2721,999-999-9999
Oil Center Fire District,Pontotoc,Eddy Crawford,580-436-2162,999-999-9999
Oilton Volunteer Fire Department,Creek,Pat Martin,918-740-4301,999-999-9999
OK Dept of Corrections Lexington,Cleveland,Jack Cottrell,405-527-5676,999-999-9999
OK Dept of Wildlife Conservation,Pittsburg,William Ashley,918-469-3758,999-999-9999
OK Dept of Wildlife Conservation,Pushmataha,Jack Waymire,918-569-4329,999-999-9999
Okarche Fire Department,Canadian,Gary Baustert,405-368-7894,999-999-9999
Okay Volunteer Fire Department,Wagoner,Terry Gorman,918-869-7007,999-999-9999
Okeene Fire Department,Blaine,Glenn Halverson,580-822-1616,999-999-9999
Okemah Fire Department,Okfuskee,Billy Tanner,918-623-1050,999-999-9999
Oklahoma City Fire Department,Oklahoma,Keith Bryant,000-000-0000,405-297-3329
Oklahoma Forestry Broken Bow,McCurtain,Andy James,000-000-0000,580-584-3352
Oklahoma Forestry Sallisaw,Sequoyah,Steve Couch,000-000-0000,918-775-2666
Okmulgee County Civil Defense,Okmulgee,George Jacobs,918-758-6435,999-999-9999
Okmulgee Fire Department,Okmulgee,Rick Mitchell,918-381-3728,999-999-9999
Okmulgee State Park,Okmulgee,Charles Rogers,918-756-5971,999-999-9999
Okmulgee Wildlife Refuge,Okmulgee,Bruce Burton,918-756-3757,999-999-9999
Oktaha FF Association,Muskogee,Leonard Stevens,918-683-2792,999-999-9999
Olive Fire Department,Creek,Stuart Cox,918-352-4225,999-999-9999
Olney Fire Department,Coal,Howard Ables,580-428-3320,999-999-9999
Olustee Fire Department,Jackson,David Brown,580-471-8183,999-999-9999
Omega Rural Fire District,Kingfisher,Kris Eaton,405-368-8171,999-999-9999
Onapa Fire Department Inc,McIntosh,Greg Moore,918-689-0232,999-999-9999
Optima Fire Department,Texas,Jim Lackey,580-651-0653,999-999-9999
Orion Fire District Association,Major,Valden Bryant,580-227-2281,999-999-9999
Orlando Rural FF Association,Logan,Wayne Hafner,580-455-2548,999-999-9999
Orr Volunteer Fire Department,Love,Terry Redmon,580-662-3151,999-999-9999
Osage Board of County Commisioners,Osage,Bill Sweeden,918-287-1570,999-999-9999
Osage County Conservation District,Osage,Joe Sweeden,918-287-3290,999-999-9999
Osage County Rural Water Dist # 11,Osage,Bill Basore,918-396-3196,999-999-9999
Osage Cove Fire District Association,Osage,Brendan Montgomery,580-718-0402,999-999-9999
Osage Hills Rural Fire Department,Osage,Jerry Harris,918-337-0375,999-999-9999
Osage Hills State Park,Osage,Rick Geveart,918-336-5635,999-999-9999
Osage Hills Vol Fire Department Inc,Osage,Dan Wiggins,918-425-8151,999-999-9999
Osage Volunteer Fire Department,Osage,Chad Barlow,918-354-2505,999-999-9999
Osage-Pleasant View Fire Department,Mayes,Rick Howard,918-825-4379,999-999-9999
OSU Fire Service Training,Payne,Bryan West,405-744-5727,999-999-9999
Ottawa County Fire Service,Ottawa,Russell Earls,918-542-3332,999-999-9999
Owasso Fire Department,Tulsa,Mark Stuckey,918-272-1473,999-999-9999
Owens & Company Inc Mutual Aid,Washington,Todd Owens,918-521-3911,999-999-9999
